NK: 1 SK: 2 FK: 3 Disordered: 4 Not-Applicable: 5
Structures   GB-Type
lammps_0473    Disordered
lammps_0474    SK
lammps_0475    SK
lammps_0476    SK
lammps_0477    Disordered
lammps_0478    Disordered
lammps_0479    SK
lammps_0480    Disordered
lammps_0481    NK
lammps_0482    Disordered
lammps_0483    NK
lammps_0484    Disordered
lammps_0485    NK
lammps_0486    Disordered
lammps_0487    SK
lammps_0488    Disordered
lammps_0489    Disordered
lammps_0490    NK
lammps_0491    NK
lammps_0492    Disordered
lammps_0493    NK
lammps_0494    NK
lammps_0495    NK
lammps_0496    NK
lammps_0497    SK
lammps_0498    NK
lammps_0499    NK
lammps_0500    Disordered
lammps_0501    NK
lammps_0502    NK
lammps_0503    SK
lammps_0504    NK
lammps_0505    SK
lammps_0506    SK
lammps_0507    NK
lammps_0508    Disordered
lammps_0509    SK
lammps_0510    NK
lammps_0511    SK
lammps_0512    Disordered
lammps_0513    SK
lammps_0514    Disordered
lammps_0515    SK
lammps_0516    SK
lammps_0517    NK
lammps_0518    Disordered
lammps_0519    SK
lammps_0520    NK
lammps_0521    Disordered
lammps_0522    Disordered
lammps_0523    Disordered
lammps_0524    NK
lammps_0525    SK
lammps_0526    Disordered
lammps_0527    Disordered
lammps_0528    NK
lammps_0529    NK
lammps_0530    NK
lammps_0531    Disordered
lammps_0532    Disordered
lammps_0533    Disordered
lammps_0534    SK
lammps_0535    NK
lammps_0536    NK
lammps_0537    SK
lammps_0538    NK
lammps_0539    Disordered
lammps_0540    NK
lammps_0541    Disordered
lammps_0542    NK
lammps_0543    NK
lammps_0544    NK
lammps_0545    Disordered
lammps_0546    NK
lammps_0547    NK
lammps_0548    NK
lammps_0549    Disordered
lammps_0550    NK
lammps_0551    SK
lammps_0552    Disordered
lammps_0553    NK
lammps_0554    NK
lammps_0555    NK
lammps_0556    NK
lammps_0557    NK
lammps_0558    NK
lammps_0559    NK
lammps_0560    NK
lammps_0561    NK
lammps_0562    NK
lammps_0563    NK
lammps_0564    NK
lammps_0565    NK
lammps_0566    Disordered
lammps_0567    NK
lammps_0568    NK
lammps_0569    Disordered
lammps_0570    Disordered
lammps_0571    Disordered
lammps_0572    FK
lammps_0573    SK
lammps_0574    NK
lammps_0575    NK
lammps_0576    NK
lammps_0577    SK
lammps_0578    SK
lammps_0579    NK
lammps_0580    FK
lammps_0581    SK
lammps_0582    SK
lammps_0583    SK
lammps_0584    SK
lammps_0585    SK
lammps_0586    SK
lammps_0587    SK
lammps_0588    SK
lammps_0589    SK
lammps_0590    SK
lammps_0591    SK
lammps_0592    SK
lammps_0593    SK
lammps_0594    SK
lammps_0595    SK
lammps_0596    FK
lammps_0597    SK
lammps_0598    SK
lammps_0599    SK
lammps_0600    FK
lammps_0601    SK
lammps_0602    SK
lammps_0603    SK
lammps_0604    SK
lammps_0605    SK
lammps_0606    SK
lammps_0607    SK
lammps_0608    NK
lammps_0609    SK
lammps_0610    SK
lammps_0611    SK
lammps_0612    FK
lammps_0613    SK
lammps_0614    FK
lammps_0615    SK
lammps_0616    SK
lammps_0617    SK
lammps_0618    SK
lammps_0619    SK
lammps_0620    SK
lammps_0621    SK
lammps_0622    SK
lammps_0623    SK
lammps_0624    SK
lammps_0625    SK
lammps_0626    FK
lammps_0627    SK
lammps_0628    SK
lammps_0629    SK
lammps_0630    FK
lammps_0631    SK
lammps_0632    SK
lammps_0633    SK
lammps_0634    SK
lammps_0635    SK
lammps_0636    SK
lammps_0637    FK
lammps_0638    SK
lammps_0639    SK
lammps_0640    FK
lammps_0641    NK
lammps_0642    FK
lammps_0643    NK
lammps_0644    FK
lammps_0645    SK
lammps_0646    SK
lammps_0647    SK
lammps_0648    SK
lammps_0649    SK
lammps_0650    SK
lammps_0651    SK
lammps_0652    SK
lammps_0653    FK
lammps_0654    SK
lammps_0655    SK
lammps_0656    SK
lammps_0657    Disordered
lammps_0658    SK
lammps_0659    SK
lammps_0660    FK
lammps_0661    NK
lammps_0662    SK
lammps_0663    SK
lammps_0664    FK
lammps_0665    FK
lammps_0666    SK
lammps_0667    FK
lammps_0668    FK
lammps_0669    NK
lammps_0670    FK
lammps_0671    NK
lammps_0672    FK
lammps_0673    SK
lammps_0674    NK
lammps_0675    SK
lammps_0676    SK
lammps_0677    FK
lammps_0678    SK
lammps_0679    NK
lammps_0680    SK
lammps_0681    SK
lammps_0682    SK
lammps_0683    SK
lammps_0684    FK
lammps_0685    NK
lammps_0686    SK
lammps_0687    FK
lammps_0688    SK
lammps_0689    SK
lammps_0690    SK
lammps_0691    SK
lammps_0692    NK
lammps_0693    NK
lammps_0694    SK
lammps_0695    SK
lammps_0696    NK
lammps_0697    SK
lammps_0698    FK
lammps_0699    SK
lammps_0700    Disordered
lammps_0701    NK
lammps_0702    FK
lammps_0703    SK
lammps_0704    SK
lammps_0705    SK
lammps_0706    Disordered
lammps_0707    SK
lammps_0708    FK
lammps_0709    NK
lammps_0710    SK
lammps_0711    SK
lammps_0712    FK
lammps_0713    FK
lammps_0714    SK
lammps_0715    NK
lammps_0716    NK
lammps_0717    SK
lammps_0718    SK
lammps_0719    SK
lammps_0720    FK
lammps_0721    Disordered
lammps_0722    Disordered
lammps_0723    NK
lammps_0724    SK
lammps_0725    SK
lammps_0726    Disordered
lammps_0727    NK
lammps_0728    Disordered
lammps_0729    SK
lammps_0730    Disordered
lammps_0731    NK
lammps_0732    FK
lammps_0733    NK
lammps_0734    NK
lammps_0735    Disordered
lammps_0736    Disordered
lammps_0737    Disordered
lammps_0738    Disordered
lammps_0739    SK
lammps_0740    Disordered
lammps_0741    Disordered
lammps_0742    NK
lammps_0743    FK
lammps_0744    Disordered
lammps_0745    SK
lammps_0746    Disordered
lammps_0747    Disordered
lammps_0748    Disordered
lammps_0749    Disordered
lammps_0750    Disordered
lammps_0751    NK
lammps_0752    SK
lammps_0753    Disordered
lammps_0754    Disordered
lammps_0755    Disordered
lammps_0756    Disordered
lammps_0757    SK
lammps_0758    Disordered
lammps_0759    Disordered
lammps_0760    Disordered
lammps_0761    NK
lammps_0762    NK
lammps_0763    Disordered
lammps_0764    Disordered
lammps_0765    NK
lammps_0766    SK
lammps_0767    NK
lammps_0768    NK
lammps_0769    SK
lammps_0770    NK
lammps_0771    SK
lammps_0772    SK
lammps_0773    FK
lammps_0774    FK
lammps_0775    FK
lammps_0776    FK
lammps_0777    NK
lammps_0778    FK
lammps_0779    FK
lammps_0780    NK
lammps_0781    FK
lammps_0782    FK
lammps_0783    FK
lammps_0784    NK
lammps_0785    FK
lammps_0786    FK
lammps_0787    FK
lammps_0788    NK
lammps_0789    FK
lammps_0790    FK
lammps_0791    Disordered
lammps_0792    FK
lammps_0793    FK
lammps_0794    NK
lammps_0795    FK
lammps_0796    Disordered
lammps_0797    NK
lammps_0798    FK
lammps_0799    FK
lammps_0800    NK
lammps_0801    FK
lammps_0802    NK
lammps_0803    NK
lammps_0804    FK
lammps_0805    NK
lammps_0806    FK
lammps_0807    Disordered
lammps_0808    Disordered
lammps_0809    FK
lammps_0810    Disordered
lammps_0811    Disordered
lammps_0812    Disordered
lammps_0813    FK
lammps_0814    NK
lammps_0815    Disordered
lammps_0816    FK
lammps_0817    NK
lammps_0818    FK
lammps_0819    FK
lammps_0820    Disordered
lammps_0821    NK
lammps_0822    NK
lammps_0823    NK
lammps_0824    NK
lammps_0825    NK
lammps_0826    NK
lammps_0827    NK
lammps_0828    Disordered
lammps_0829    NK
lammps_0830    NK
lammps_0831    Disordered
lammps_0832    NK
lammps_0833    FK
lammps_0834    NK
lammps_0835    FK
lammps_0836    Disordered
lammps_0837    Disordered
lammps_0838    Disordered
lammps_0839    NK
lammps_0840    FK
lammps_0841    NK
lammps_0842    NK
lammps_0843    FK
lammps_0844    FK
lammps_0845    NK
lammps_0846    FK
lammps_0847    NK
lammps_0848    FK
lammps_0849    FK
lammps_0850    NK
lammps_0851    FK
lammps_0852    Disordered
lammps_0853    FK
lammps_0854    Disordered
lammps_0855    FK
lammps_0856    Disordered
lammps_0857    NK
lammps_0858    Disordered
lammps_0859    FK
lammps_0860    NK
lammps_0861    Disordered
lammps_0862    NK
lammps_0863    FK
lammps_0864    Disordered
lammps_0865    NK
lammps_0866    NK
lammps_0867    Disordered
lammps_0868    Disordered
lammps_0869    NK
lammps_0870    NK
lammps_0871    NK
lammps_0872    FK
lammps_0873    NK
lammps_0874    NK
lammps_0875    NK
lammps_0876    NK
lammps_0877    FK
lammps_0878    Disordered
lammps_0879    NK
lammps_0880    FK
lammps_0881    FK
lammps_0882    FK
lammps_0883    Disordered
lammps_0884    FK
lammps_0885    FK
lammps_0886    Disordered
lammps_0887    Disordered
lammps_0888    NK
lammps_0889    NK
lammps_0890    NK
lammps_0891    NK
lammps_0892    FK
lammps_0893    NK
lammps_0894    NK
lammps_0895    NK
lammps_0896    NK
lammps_0897    NK
lammps_0898    Disordered
lammps_0899    NK
lammps_0900    FK
lammps_0901    FK
lammps_0902    Disordered
lammps_0903    NK
lammps_0904    NK
lammps_0905    NK
lammps_0906    FK
lammps_0907    NK
lammps_0908    NK
lammps_0909    NK
lammps_0910    FK
lammps_0911    NK
lammps_0912    FK
lammps_0913    FK
lammps_0914    FK
lammps_0915    NK
lammps_0916    FK
lammps_0917    NK
lammps_0918    FK
lammps_0919    FK
lammps_0920    NK
lammps_0921    FK
lammps_0922    FK
lammps_0923    Disordered
lammps_0924    Disordered
lammps_0925    SK
lammps_0926    NK
lammps_0927    NK
lammps_0928    NK
lammps_0929    NK
lammps_0930    NK
lammps_0931    NK
lammps_0932    NK
lammps_0933    NK
lammps_0934    NK
lammps_0935    FK
lammps_0936    NK
lammps_0937    NK
lammps_0938    NK
lammps_0939    NK
lammps_0940    NK
lammps_0941    NK
lammps_0942    SK
lammps_0943    SK
lammps_0944    SK
lammps_0945    SK
lammps_0946    SK
lammps_0947    SK
lammps_0948    SK
lammps_0949    SK
lammps_0950    SK
lammps_0951    SK
lammps_0952    SK
lammps_0953    SK
lammps_0954    SK
lammps_0955    SK
lammps_0956    SK
lammps_0957    SK
lammps_0958    SK
lammps_0959    SK
lammps_0960    SK
lammps_0961    SK
lammps_0962    SK
lammps_0963    SK
lammps_0964    SK
lammps_0965    SK
lammps_0966    SK
lammps_0967    SK
lammps_0968    SK
lammps_0969    SK
lammps_0970    SK
lammps_0971    SK
lammps_0972    SK
lammps_0973    SK
lammps_0974    SK
lammps_0975    SK
lammps_0976    SK
lammps_0977    SK
lammps_0978    SK
lammps_0979    SK
lammps_0980    SK
lammps_0981    SK
lammps_0982    SK
lammps_0983    SK
lammps_0984    SK
lammps_0985    SK
lammps_0986    SK
lammps_0987    SK
lammps_0988    SK
lammps_0989    SK
lammps_0990    SK
lammps_0991    SK
lammps_0992    SK
lammps_0993    SK
lammps_0994    SK
lammps_0995    SK
lammps_0996    SK
lammps_0997    SK
lammps_0998    SK
lammps_0999    SK
lammps_1000    SK
lammps_1001    SK
lammps_1002    SK
lammps_1003    SK
lammps_1004    SK
lammps_1005    SK
lammps_1006    SK
lammps_1007    SK
lammps_1008    SK
lammps_1009    SK
lammps_1010    SK
lammps_1011    SK
lammps_1012    SK
lammps_1013    SK
lammps_1014    SK
lammps_1015    SK
lammps_1016    SK
lammps_1017    SK
lammps_1018    SK
lammps_1019    SK
lammps_1020    NA
